Product_URL,Product_Demographic,Product_Type,Product_Name,Selling_Price,Max_Retail_Price,Rating,Rating_Count,Color,Available_Sizes,Fit_Sizing,Product_Details,Fabric_Care
https://www.gap.com/browse/product.do?pid=876107012,Women,Shirts & Tops,Linen-Cotton Vest,69.95,69.95,5,4,white and navy blue stripe,"XXS, XS, S, M, L, XL, XXL","['* Fit: Slightly fitted. Sits close to the body', 'Hits at the hip']","['Soft linen-cotton vest', 'V-neck', 'Sleeveless', 'Button front']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855962002,Women,Pants,365 High Rise Linen-Cotton Trousers,98.00,98.00,5,2,white & navy blue stripe,"00, 0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","['* Fit: Classic. An easy silhouette that fits close  at the waist, and is relaxed through the hips and thigh']","['Soft linen-cotton blend trousers', 'E-waist with concealed hook and bar closure, zip fly', 'Front slant pockets, back welt pockets', 'Certain styles have allover prints']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=876107032,Women,Shirts & Tops,Linen-Cotton Vest,69.95,69.95,5,4,new off white,"XXS, XS, S, M, L, XL, XXL","['* Fit: Slightly fitted. Sits close to the body', 'Hits at the hip']","['Soft linen-cotton vest', 'V-neck', 'Sleeveless', 'Button front']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855962042,Women,Pants,365 High Rise Linen-Cotton Trousers,89.95,89.95,5,2,new off white,"00, 0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","['* Fit: Classic. An easy silhouette that fits close  at the waist, and is relaxed through the hips and thigh']","['Soft linen-cotton blend trousers', 'E-waist with concealed hook and bar closure, zip fly', 'Front slant pockets, back welt pockets', 'Certain styles have allover prints']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875993022,Women,Shirts & Tops,Linen-Blend Cropped Shirt,49.95,49.95,0,Not available,new off white,"XXS, XS, S, M, L, XL, XXL","['* Fit: Oversized. Fits loose on the body', '* Style Note: For a more Classic fit, go down one to two sizes']","['Soft linen-blend cropped shirt', 'Point collar', 'Short rolled sleeves', 'Button front', 'Patch pockets at chest', 'Certain styles have allover prints']","['Linen 55%, Viscose Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=416638022,Women,Shorts,365 High Rise Linen-Blend Shorts,49.95,49.95,4,1,new off white,"XXS, XS, S, M, L, XL, XXL","['* Fit: Classic. An easy silhouette that fits close  at the waist, and is relaxed through the hips and thigh']","['Soft linen-blend trouser shorts', 'E-waist with concealed hook and bar closure, zip fly', 'Front slant pockets, back welt pockets', 'Pleating at front']","['Linen 55%, Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=870589022,Women,Outerwear & Jackets,Linen-Cotton Belted Blazer,148.00,148.00,5,1,new off white,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft linen-cotton blazer jacket', 'Notch lapels', 'Long sleeves', 'Double-breasted button front', 'Welt pockets at front', 'Tie belt at waist']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875993032,Women,Shirts & Tops,Linen-Blend Cropped Shirt,59.95,59.95,0,Not available,"black, blue, & off white stripe","XXS, XS, S, M, L, XL, XXL","['* Fit: Oversized. Fits loose on the body', '* Style Note: For a more Classic fit, go down one to two sizes']","['Soft linen-blend cropped shirt', 'Point collar', 'Short rolled sleeves', 'Button front', 'Patch pockets at chest', 'Certain styles have allover prints']","['Linen 55%, Viscose Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=416638042,Women,Shorts,365 High Rise Linen-Blend Shorts,49.95,49.95,4,1,neutral stripe,"XXS, XS, S, M, L, XL, XXL","['* Fit: Classic. An easy silhouette that fits close  at the waist, and is relaxed through the hips and thigh']","['Soft linen-blend trouser shorts', 'E-waist with concealed hook and bar closure, zip fly', 'Front slant pockets, back welt pockets', 'Pleating at front']","['Linen 55%, Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875983072,Women,Shirts & Tops,Linen Boyfriend Shirt,69.95,69.95,3.5,8,iconic khaki tan,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft linen shirt', 'Spread collar', 'Long sleeves with button cuffs', 'Button front', 'Patch pocket at chest', 'Certain styles have allover prints']","['Linen 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855963022,Women,Pants,Linen-Cotton Pull-On Cargo Pants,79.95,79.95,3,3,iconic khaki tan,"XXS, XS, S, M, L, XL, XXL",['* Fit: Relaxed. An easy silhouette throughout'],"['Soft linen-cotton blend pull-on pants', 'Elasticized waist with drawcords', 'Front slant pockets', 'Side cargo pockets']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=792334042,Women,Shirts & Tops,Satin Tank Top,24.00$49.95,24.00$49.95,4.37,71,iconic khaki tan,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits at the hip']","['Soft satin tank top', 'Scoop neck', 'Sleeveless, tank straps', 'Curved hem']","['Polyester 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=800968052,Women,Skirts,Satin Midi Skirt,27.00,27.00,4.46,96,iconic khaki tan,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits below the knee']","['Soft satin midi skirt', 'Elasticized waist', 'Side slit']","['Polyester 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=862317002,Women,Shirts & Tops,Cowl-Neck Cami Top,24.00$49.95,24.00$49.95,3.33,3,yellow floral,"XXS, XS, S, M, L, XL","['* Fit: Slightly fitted. Sits close to the body', 'Hits at the hip']","['Soft woven cami tank top', 'Cowl neckline', 'Spaghetti straps', 'Certain styles have allover prints', 'Made with 50% LENZINGTM ECOVEROTM, a wood-based fiber produced using pulp derived from responsibly managed forests and manufactured with significantly lower emissions and less water than generic viscose']","['50% LENZINGTM ECOVEROTM, 50% Viscose Rayon', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875087012,Women,Skirts,Wrap Midi Skirt,34.00$69.95,34.00$69.95,3.33,3,yellow floral,"XXS, XS, S, M, L, XL","[""* Fit: Classic. An easy silhouette that's slim at the waist & relaxed throughout"", 'Hits below the knee']","['Soft woven wrap midi skirt', 'Wrap tie-waist', 'Certain styles have allover prints', 'Made with 50% LENZINGTM ECOVEROTM, a wood-based fiber produced using pulp derived from responsibly managed forests and manufactured with significantly lower emissions and less water than generic viscose']","['50% LENZINGTM ECOVEROTM, 50% Viscose Rayon', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=792334052,Women,Shirts & Tops,Satin Tank Top,24.00$49.95,24.00$49.95,4.37,71,sage green,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits at the hip']","['Soft satin tank top', 'Scoop neck', 'Sleeveless, tank straps', 'Curved hem']","['Polyester 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=800968042,Women,Skirts,Satin Midi Skirt,27.00,27.00,4.46,96,sage green,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits below the knee']","['Soft satin midi skirt', 'Elasticized waist', 'Side slit']","['Polyester 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=876107022,Women,Shirts & Tops,Linen-Cotton Vest,69.95,69.95,5,4,olive green,"XXS, XS, S, M, L, XL, XXL","['* Fit: Slightly fitted. Sits close to the body', 'Hits at the hip']","['Soft linen-cotton vest', 'V-neck', 'Sleeveless', 'Button front']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855963012,Women,Pants,Linen-Cotton Pull-On Cargo Pants,79.95,79.95,3,3,olive green,"XXS, XS, S, M, L, XL, XXL",['* Fit: Relaxed. An easy silhouette throughout'],"['Soft linen-cotton blend pull-on pants', 'Elasticized waist with drawcords', 'Front slant pockets', 'Side cargo pockets']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875993002,Women,Shirts & Tops,Linen-Blend Cropped Shirt,49.95,49.95,0,Not available,olive green,"XXS, XS, S, M, L, XL, XXL","['* Fit: Oversized. Fits loose on the body', '* Style Note: For a more Classic fit, go down one to two sizes']","['Soft linen-blend cropped shirt', 'Point collar', 'Short rolled sleeves', 'Button front', 'Patch pockets at chest', 'Certain styles have allover prints']","['Linen 55%, Viscose Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875088012,Women,Skirts,Linen-Blend Cargo Midi Skirt,69.95,69.95,3.67,3,olive green,"XXS, XS, S, M, L, XL, XXL","[""* Fit: Classic. An A-line silhouette that's slim at the waist & easy through the hip with a flared opening"", 'Hits below the knee']","['Soft linen-rayon blend midi skirt', 'Elasticized waist with drawcords', 'Cargo pockets at sides', 'Front slit']","['Linen 55%, Viscose Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=792334012,Women,Shirts & Tops,Satin Tank Top,24.00$49.95,24.00$49.95,4.37,71,navy blue,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits at the hip']","['Soft satin tank top', 'Scoop neck', 'Sleeveless, tank straps', 'Curved hem']","['Polyester 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=800968002,Women,Skirts,Satin Midi Skirt,27.00,27.00,4.46,96,navy blue,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits below the knee']","['Soft satin midi skirt', 'Elasticized waist', 'Side slit']","['Polyester 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=862317012,Women,Shirts & Tops,Cowl-Neck Cami Top,24.00$49.95,24.00$49.95,3.33,3,navy blue floral,"XXS, XS, S, M, L, XL","['* Fit: Slightly fitted. Sits close to the body', 'Hits at the hip']","['Soft woven cami tank top', 'Cowl neckline', 'Spaghetti straps', 'Certain styles have allover prints', 'Made with 50% LENZINGTM ECOVEROTM, a wood-based fiber produced using pulp derived from responsibly managed forests and manufactured with significantly lower emissions and less water than generic viscose']","['50% LENZINGTM ECOVEROTM, 50% Viscose Rayon', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875087002,Women,Skirts,Wrap Midi Skirt,34.00$69.95,34.00$69.95,3.33,3,navy blue floral,"XXS, XS, S, M, L, XL","[""* Fit: Classic. An easy silhouette that's slim at the waist & relaxed throughout"", 'Hits below the knee']","['Soft woven wrap midi skirt', 'Wrap tie-waist', 'Certain styles have allover prints', 'Made with 50% LENZINGTM ECOVEROTM, a wood-based fiber produced using pulp derived from responsibly managed forests and manufactured with significantly lower emissions and less water than generic viscose']","['50% LENZINGTM ECOVEROTM, 50% Viscose Rayon', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=792334002,Women,Shirts & Tops,Satin Tank Top,24.00$49.95,24.00$49.95,4.37,71,black,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits at the hip']","['Soft satin tank top', 'Scoop neck', 'Sleeveless, tank straps', 'Curved hem']","['Polyester 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=800968012,Women,Skirts,Satin Midi Skirt,27.00,27.00,4.46,96,black,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits below the knee']","['Soft satin midi skirt', 'Elasticized waist', 'Side slit']","['Polyester 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875983082,Women,Shirts & Tops,Linen Boyfriend Shirt,69.95,69.95,3.5,8,black,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft linen shirt', 'Spread collar', 'Long sleeves with button cuffs', 'Button front', 'Patch pocket at chest', 'Certain styles have allover prints']","['Linen 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855963002,Women,Pants,Linen-Cotton Pull-On Cargo Pants,79.95,79.95,3,3,black,"XXS, XS, S, M, L, XL, XXL",['* Fit: Relaxed. An easy silhouette throughout'],"['Soft linen-cotton blend pull-on pants', 'Elasticized waist with drawcords', 'Front slant pockets', 'Side cargo pockets']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=876103052,Women,Shirts & Tops,Linen Cropped Shirt,69.95,69.95,4,2,black,"XXS, XS, S, M, L, XL, XXL","['* Fit: Slightly fitted. Sits close to the body', 'Cropped, hits at the waist']","['Soft, breathable linen cropped shirt', 'Point collar', 'Long sleeves with button cuffs', 'Button front']","['Linen 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875088002,Women,Skirts,Linen-Blend Cargo Midi Skirt,69.95,69.95,3.67,3,black,"XXS, XS, S, M, L, XL, XXL","[""* Fit: Classic. An A-line silhouette that's slim at the waist & easy through the hip with a flared opening"", 'Hits below the knee']","['Soft linen-rayon blend midi skirt', 'Elasticized waist with drawcords', 'Cargo pockets at sides', 'Front slit']","['Linen 55%, Viscose Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=870589002,Women,Outerwear & Jackets,Linen-Cotton Belted Blazer,148.00,148.00,5,1,black,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft linen-cotton blazer jacket', 'Notch lapels', 'Long sleeves', 'Double-breasted button front', 'Welt pockets at front', 'Tie belt at waist']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855962022,Women,Pants,365 High Rise Linen-Cotton Trousers,89.95,89.95,5,2,black,"00, 0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","['* Fit: Classic. An easy silhouette that fits close  at the waist, and is relaxed through the hips and thigh']","['Soft linen-cotton blend trousers', 'E-waist with concealed hook and bar closure, zip fly', 'Front slant pockets, back welt pockets', 'Certain styles have allover prints']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=876107002,Women,Shirts & Tops,Linen-Cotton Vest,69.95,69.95,5,4,black,"XXS, XS, S, M, L, XL, XXL","['* Fit: Slightly fitted. Sits close to the body', 'Hits at the hip']","['Soft linen-cotton vest', 'V-neck', 'Sleeveless', 'Button front']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875993012,Women,Shirts & Tops,Linen-Blend Cropped Shirt,49.95,49.95,0,Not available,black,"XXS, XS, S, M, L, XL, XXL","['* Fit: Oversized. Fits loose on the body', '* Style Note: For a more Classic fit, go down one to two sizes']","['Soft linen-blend cropped shirt', 'Point collar', 'Short rolled sleeves', 'Button front', 'Patch pockets at chest', 'Certain styles have allover prints']","['Linen 55%, Viscose Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=416638032,Women,Shorts,365 High Rise Linen-Blend Shorts,49.95,49.95,4,1,black,"XXS, XS, S, M, L, XL, XXL","['* Fit: Classic. An easy silhouette that fits close  at the waist, and is relaxed through the hips and thigh']","['Soft linen-blend trouser shorts', 'E-waist with concealed hook and bar closure, zip fly', 'Front slant pockets, back welt pockets', 'Pleating at front']","['Linen 55%, Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=816713032,Women,Sweaters,CashSoft Shaker-Stitch Sweater Hoodie,47.00,47.00,4.59,158,black,"XXS, XS, S, M, L, XL, XXL","['Fit: Oversized. Fits loose through the body. * Style Note: For a more Classic fit, go down two to three sizes', 'Slightly cropped, hits at the waist']","['Supersoft, slightly cropped cotton-blend sweater hoodie', 'Hooded neckline with drawcords', 'Long sleeves with dropped shoulders']","['Cotton 53%, Nylon 24%, Acrylic 23%', 'Machine wash and lay flat to dry', 'Imported']"
